Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
06-10-2017,72.36,72.7,72.23,72.67,13959800,0,0
09-10-2017,72.64,73.2,72.54,72.95,11386500,0,0
10-10-2017,72.99,73.27,72.81,72.95,13944500,0,0
11-10-2017,73.02,73.11,72.62,73.07,15388900,0,0
12-10-2017,73.14,73.91,73.03,73.74,16876500,0,0
13-10-2017,74.19,74.46,73.91,74.1,15335700,0,0
16-10-2017,74.03,74.4,73.96,74.25,12380100,0,0
17-10-2017,74.08,74.22,73.87,74.19,16824000,0,0
18-10-2017,74.27,74.44,73.98,74.21,13300700,0,0
19-10-2017,74.17,74.52,73.96,74.5,15092800,0,0
20-10-2017,74.89,75.51,74.8,75.36,22866400,0,0
23-10-2017,75.53,75.87,75.31,75.38,20627200,0,0
24-10-2017,75.45,75.73,75.02,75.41,17517200,0,0
25-10-2017,75.14,75.64,74.59,75.19,20410800,0,0
26-10-2017,75.73,75.94,75.3,75.31,32120700,0,0
27-10-2017,80.68,82.43,79.95,80.14,71066700,0,0
30-10-2017,80.04,80.64,79.47,80.22,31756700,0,0
31-10-2017,80.67,80.67,79.47,79.54,27086600,0,0
01-11-2017,80.02,80.09,79.25,79.54,22307400,0,0
02-11-2017,79.7,80.76,79.48,80.37,23992900,0,0
03-11-2017,80.4,80.84,79.75,80.46,17633500,0,0
06-11-2017,80.51,80.99,80.4,80.77,19860900,0,0
07-11-2017,81.06,81.18,80.26,80.58,17939700,0,0
08-11-2017,80.46,80.91,80.16,80.86,18034200,0,0
09-11-2017,80.43,80.58,79.27,80.41,21178400,0,0
10-11-2017,80.12,80.42,79.59,80.2,19397800,0,0
13-11-2017,80,80.26,79.81,80.26,14196900,0,0
14-11-2017,79.84,80.42,79.35,80.37,18801300,0,0
15-11-2017,80.22,80.43,79.47,79.75,19383100,0.42,0
16-11-2017,79.86,80.17,79.71,79.96,20962800,0,0
17-11-2017,79.88,79.88,79.03,79.19,22079000,0,0
20-11-2017,79.19,79.37,79.04,79.31,16315000,0,0
21-11-2017,79.51,80.57,79.51,80.46,21237500,0,0
22-11-2017,80.56,80.63,79.8,79.87,20553100,0,0
24-11-2017,79.77,80.18,79.55,80.01,7425600,0,0
27-11-2017,80.06,80.71,80.05,80.6,18265200,0,0
28-11-2017,80.79,81.74,80.74,81.57,21926000,0,0
29-11-2017,81.41,81.61,79.94,80.09,27381100,0,0
30-11-2017,80.25,81.23,80.09,80.89,33054600,0,0
01-12-2017,80.34,81.5,79.98,80.98,29532100,0,0
04-12-2017,81.13,81.14,77.55,77.92,39094900,0,0
05-12-2017,78.17,79.46,77.82,78.41,26152300,0,0
06-12-2017,78.37,79.9,78.26,79.55,26162100,0,0
07-12-2017,79.32,79.57,78.8,79.27,23184500,0,0
08-12-2017,80.37,81.28,80.08,80.88,24489100,0,0
11-12-2017,81,82.04,80.84,81.91,22857900,0,0
12-12-2017,81.98,82.7,81.76,82.24,23924100,0,0
13-12-2017,82.4,82.65,81.85,82.02,22062700,0,0
14-12-2017,82.1,82.52,81.23,81.39,19306000,0,0
15-12-2017,81.94,83.69,81.57,83.46,53936700,0,0
18-12-2017,83.72,84.09,82.87,83.01,22283800,0,0
19-12-2017,82.98,82.98,81.95,82.48,23524800,0,0
20-12-2017,82.84,82.94,81.41,82.19,23674900,0,0
21-12-2017,82.7,82.74,82.07,82.17,17990700,0,0
22-12-2017,82.07,82.29,81.61,82.18,14145800,0,0
26-12-2017,81.98,82.2,81.72,82.07,9891200,0,0
27-12-2017,82.31,82.63,81.9,82.37,14678000,0,0
28-12-2017,82.55,82.58,82.21,82.38,10594300,0,0
29-12-2017,82.29,82.7,82.17,82.21,18717400,0,0
02-01-2018,82.77,82.95,82.17,82.6,22483800,0,0
03-01-2018,82.71,83.14,82.62,82.98,26061400,0,0
04-01-2018,83.21,84.24,83.2,83.71,21912000,0,0
05-01-2018,84.24,84.96,84.02,84.75,23407100,0,0
08-01-2018,84.76,85.13,84.18,84.84,22113000,0,0
09-01-2018,85.19,85.27,84.43,84.78,19484300,0,0
10-01-2018,84.43,84.75,84,84.4,18652200,0,0
11-01-2018,84.69,84.69,83.84,84.65,17808900,0,0
12-01-2018,85.21,86.28,85,86.11,24271500,0,0
16-01-2018,86.59,87.25,84.58,84.91,36599700,0,0
17-01-2018,85.61,86.76,85.29,86.63,25621200,0,0
18-01-2018,86.3,87.14,86.16,86.59,24159700,0,0
19-01-2018,86.63,87.08,86.16,86.49,36875000,0,0
22-01-2018,86.49,88.05,86.24,88.04,23601600,0,0
23-01-2018,88.32,88.7,87.97,88.32,23412800,0,0
24-01-2018,88.94,89.79,88.01,88.24,33277500,0,0
25-01-2018,88.87,89.61,88.35,88.73,26383200,0,0
26-01-2018,89.49,90.39,88.97,90.39,29172200,0,0
29-01-2018,91.43,91.73,90.07,90.26,31569900,0,0
30-01-2018,89.66,90.01,88.51,89.12,38635100,0,0
31-01-2018,90.1,91.68,89.86,91.31,48756300,0,0
01-02-2018,91.09,92.32,89.93,90.59,47227900,0,0
02-02-2018,89.99,90.31,87.93,88.2,47867800,0,0
05-02-2018,87.03,89.61,84.57,84.57,51031500,0,0
06-02-2018,83.5,87.91,81.93,87.77,67998600,0,0
07-02-2018,86.96,88.19,85.72,86.12,41107600,0,0
08-02-2018,86.21,86.38,81.46,81.7,55628700,0,0
09-02-2018,82.94,85.46,80.56,84.74,63499100,0,0
12-02-2018,85.28,86.28,84.5,85.66,35720300,0,0
13-02-2018,85.46,86.49,84.38,86.33,26407700,0,0
